id,feedback_id,user_id,vote_type
756b2e98-56f2-41f4-9071-1a2a198bebdc,35d6e22d-9809-4ea1-9686-bf053de651b3,216357a8-c868-4459-bf75-7360f8a4cdc2,down
5034f7c0-48c2-40f2-af23-9ca19616af3c,474ba7d7-895b-4b77-9b41-836da62e9ce3,216357a8-c868-4459-bf75-7360f8a4cdc2,down
a76f82de-fddf-4e38-a203-690adae198b7,63f8d863-4ee6-4b14-a6be-0d0841242d64,216357a8-c868-4459-bf75-7360f8a4cdc2,up
aaad035e-db36-4e6f-ac8e-c9af5c7f41a9,dbfa8a2f-79df-4ad8-b903-59447313f4ba,2f4055b4-456f-4d70-8a7a-32edca988921,up
dbc14ecb-3093-49bc-8af3-744cb2128eef,dbfa8a2f-79df-4ad8-b903-59447313f4ba,216357a8-c868-4459-bf75-7360f8a4cdc2,up
1438defc-c5fa-448c-bbe8-b63334d36922,509fa538-c5fa-40a2-95bf-8820150b3d40,216357a8-c868-4459-bf75-7360f8a4cdc2,up
87f083ac-9d9f-4358-964b-472fb2325396,946d4351-7b2d-4c37-b180-b9df2386754a,216357a8-c868-4459-bf75-7360f8a4cdc2,up
25078d5d-30eb-4d1d-bcff-02ff42a1b65e,2da98e69-3ff6-4659-bfa4-2e7cdd3cb6a7,216357a8-c868-4459-bf75-7360f8a4cdc2,up
a5d4514a-0273-41d5-946d-80d94a45003e,f5c97ea6-adb6-49f0-bd04-7042487a6e9d,94002f3a-97de-4736-97c3-a43718643702,up
609594b5-3665-4947-9b79-45578a15a44a,f5c97ea6-adb6-49f0-bd04-7042487a6e9d,216357a8-c868-4459-bf75-7360f8a4cdc2,up
119b99f1-1521-4f85-96e0-7bf5725b6118,d03350d6-6c28-4ba6-8c4d-e750c5eb8201,bbf11d02-a4a8-4983-8ab1-70aede280d73,up